TickerID,CompanyName,Market,Categoly,Unit,isNikkei225
銘柄コード,銘柄名,市場名,業種分類,単元株数,日経225採用銘柄
1865,青木あすなろ建設(株),東証1部,建設業,100,0
1866,北野建設(株),東証1部,建設業,1000,0
1867,(株)植木組,東証1部,建設業,100,0
1868,三井ホーム(株),東証1部,建設業,1000,0
1869,名工建設(株),名証2部,建設業,100,0
1870,矢作建設工業(株),東証1部,建設業,100,0
1871,(株)ピーエス三菱,東証1部,建設業,100,0
1873,(株)日本ハウスホールディングス,東証1部,建設業,100,0
1878,大東建託(株),東証1部,建設業,100,0
1879,新日本建設(株),東証1部,建設業,100,0
1881,(株)ＮＩＰＰＯ,東証1部,建設業,100,0
1882,東亜道路工業(株),東証1部,建設業,100,0
1883,前田道路(株),東証1部,建設業,100,0
1884,日本道路(株),東証1部,建設業,100,0
1885,東亜建設工業(株),東証1部,建設業,100,0
1888,若築建設(株),東証1部,建設業,100,0
1890,東洋建設(株),東証1部,建設業,100,0
1892,徳倉建設(株),名証2部,建設業,100,0
1893,五洋建設(株),東証1部,建設業,100,0
1897,金下建設(株),東証2部,建設業,1000,0
1898,世紀東急工業(株),東証1部,建設業,100,0
1899,(株)福田組,東証1部,建設業,100,0
1904,大成温調(株),東証JQS,建設業,100,0
1905,(株)テノックス,東証JQS,建設業,100,0
1906,(株)細田工務店,東証JQS,建設業,100,0
1909,日本ドライケミカル(株),東証1部,機械,100,0
1911,住友林業(株),東証1部,建設業,100,0
1914,日本基礎技術(株),東証1部,建設業,100,0
1916,日成ビルド工業(株),東証1部,建設業,100,0
1919,(株)ヤマダ・エスバイエルホーム,東証1部,建設業,1000,0
1921,(株)巴コーポレーション,東証1部,建設業,100,0
1925,大和ハウス工業(株),東証1部,建設業,100,1
1926,ライト工業(株),東証1部,建設業,100,0
1928,積水ハウス(株),東証1部,建設業,100,1
1929,日特建設(株),東証1部,建設業,100,0
1930,北陸電気工事(株),東証1部,建設業,100,0
1931,日本電通(株),東証2部,建設業,100,0
1933,(株)ＳＹＳＫＥＮ,東証2部,建設業,100,0
1934,(株)ユアテック,東証1部,建設業,100,0
1935,(株)ＴＴＫ,東証2部,建設業,1000,0
1936,シーキューブ(株),名証1部,建設業,100,0
1937,西部電気工業(株),東証1部,建設業,100,0
1938,日本リーテック(株),東証2部,建設業,100,0
1939,(株)四電工,東証1部,建設業,100,0
1941,(株)中電工,東証1部,建設業,100,0
1942,(株)関電工,東証1部,建設業,100,0
1944,(株)きんでん,東証1部,建設業,100,0
1945,(株)東京エネシス,東証1部,建設業,100,0
1946,(株)トーエネック,東証1部,建設業,100,0
1948,(株)弘電社,東証2部,建設業,100,0
1949,住友電設(株),東証1部,建設業,100,0
1950,日本電設工業(株),東証1部,建設業,100,0
1951,(株)協和エクシオ,東証1部,建設業,100,0
1952,新日本空調(株),東証1部,建設業,100,0
1954,日本工営(株),東証1部,サービス業,100,0
1956,ＮＤＳ(株),東証1部,建設業,100,0
1959,(株)九電工,東証1部,建設業,100,0
1960,(株)サンテック,東証2部,建設業,100,0
1961,三機工業(株),東証1部,建設業,100,0
1963,日揮(株),東証1部,建設業,100,1
1964,中外炉工業(株),東証1部,建設業,100,0
1965,(株)テクノ菱和,東証2部,建設業,100,0
1966,(株)高田工業所,東証2部,建設業,100,0
1967,(株)ヤマト,東証1部,建設業,100,0
1968,太平電業(株),東証1部,建設業,100,0
1969,高砂熱学工業(株),東証1部,建設業,100,0
1971,中央ビルト工業(株),東証2部,金属製品,100,0
1972,三晃金属工業(株),東証1部,建設業,100,0
1973,ＮＥＣネッツエスアイ(株),東証1部,情報・通信,100,0
1975,(株)朝日工業社,東証1部,建設業,100,0
1976,明星工業(株),東証1部,建設業,100,0
1979,(株)大気社,東証1部,建設業,100,0
1980,ダイダン(株),東証1部,建設業,100,0
1981,(株)協和日成,東証JQS,建設業,100,0
1982,日比谷総合設備(株),東証1部,建設業,100,0
1983,東芝プラントシステム(株),東証1部,建設業,100,0
1984,三信建設工業(株),東証JQS,建設業,1000,0
1987,(株)ソルコム,東証2部,建設業,100,0
1989,北陸電話工事(株),東証2部,建設業,100,0
1992,神田通信機(株),東証JQS,建設業,100,0
1994,高橋カーテンウォール工業(株),東証JQS,建設業,100,0
1997,暁飯島工業(株),東証JQS,建設業,100,0
1999,サイタホールディングス(株),福証,建設業,100,0
2001,日本製粉(株),東証1部,食料品,100,0
2002,(株)日清製粉グループ本社,東証1部,食料品,100,1
2003,日東富士製粉(株),東証1部,食料品,100,0
2004,昭和産業(株),東証1部,食料品,100,0
2009,鳥越製粉(株),東証1部,食料品,100,0
2053,中部飼料(株),東証1部,食料品,100,0
2055,日和産業(株),東証2部,食料品,100,0
2058,(株)ヒガシマル,福証,食料品,100,0
2060,フィード・ワン(株),東証1部,食料品,100,0
2107,東洋精糖(株),東証1部,食料品,100,0
2108,日本甜菜製糖(株),東証1部,食料品,100,0
2109,三井製糖(株),東証1部,食料品,100,0
2112,塩水港精糖(株),東証1部,食料品,100,0
2114,フジ日本精糖(株),東証2部,食料品,100,0
2117,日新製糖(株),東証1部,食料品,100,0
2120,(株)ＬＩＦＵＬＬ,東証1部,サービス業,100,0
2121,(株)ミクシィ,マザーズ,サービス業,100,0
2122,(株)インタースペース,マザーズ,サービス業,100,0
2124,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,東証1部,サービス業,100,0
2127,(株)日本Ｍ＆Ａセンター,東証1部,サービス業,100,0
2130,(株)メンバーズ,東証1部,サービス業,100,0
2134,燦キャピタルマネージメント(株),東証JQS,サービス業,100,0
2136,(株)ヒップ,東証JQS,サービス業,100,0
2137,(株)光ハイツ・ヴェラス,札幌ア,サービス業,100,0
